,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,DefaultData,Latitude,Longitude,ZipCode,log_SiteEnergyUse,log_TotalGHGEmissions
5227,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1963,1.0,31900.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,,1964681.25,13.7,False,47.5465,-122.31703999999999,98108.0,14.490841085375257,2.6878474937846906
5262,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1953,1.0,26094.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,73.0,709990.8125,4.95,False,47.561209999999996,-122.33872,98134.0,13.473008717260868,3.923556241241819
4983,2016,NonResidential,Senior Care Community,5.0,North,1998,5.0,43661.0,"Parking, Senior Care Community",Senior Care Community,73.0,3936421.5,82.57,False,47.71069,-122.32673999999999,98125.0,15.185782873873164,4.425684604013345
5264,2016,NonResidential,Small- and Mid-Sized Office,2.0,GREATER DUWAMISH,1983,2.0,24221.0,Office,Office,73.0,1435562.75,10.01,False,47.561209999999996,-122.33872,98134.0,14.177068187170553,2.3988039507345884
5303,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1949,1.0,20796.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,1324092.125,51.1,False,47.583870000000005,-122.32092,98134.0,14.096238349108342,3.9531649487593215
5179,2016,NonResidential,Mixed Use Property,7.0,DOWNTOWN,1913,3.0,43878.0,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Retail Store",Multifamily Housing,,769771.3125,5.37,False,47.60195,-122.33516000000002,98104.0,13.55385005205063,3.923556241241819
5301,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1966,1.0,36544.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,73.0,1269847.75,8.85,False,47.55458,-122.32638999999999,98108.0,14.054408356854273,2.2874714551839976
5300,2016,NonResidential,Small- and Mid-Sized Office,2.0,GREATER DUWAMISH,1953,1.0,24291.0,Office,Office,98.0,655422.375,19.61,False,47.55498,-122.32497,98108.0,13.393036679853461,3.0257763949023677
5293,2016,NonResidential,Self-Storage Facility,2.0,GREATER DUWAMISH,1930,1.0,25881.0,Self-Storage Facility,Self-Storage Facility,,545426.375,3.8,False,47.55662,-122.33728,98134.0,13.209324940653275,3.923556241241819
5292,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1924,1.0,38412.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,62.0,1628540.0,67.05,False,47.557159999999996,-122.33743999999999,98134.0,14.303195079924333,4.220242729097475
